County,County Value,Z-Score
"Illinois","9.4",
"Adams","9.3","-0.40"
"Alexander","9.5","-0.01"
"Bond","9.3","-0.40"
"Boone","9.6","0.19"
"Brown","8.9","-1.20"
"Bureau","9.8","0.59"
"Calhoun","9.1","-0.80"
"Carroll","9.3","-0.40"
"Cass","9.4","-0.21"
"Champaign","8.3","-2.40"
"Christian","9.9","0.79"
"Clark","9.2","-0.60"
"Clay","9.4","-0.21"
"Clinton","9.4","-0.21"
"Coles","9.4","-0.21"
"Cook","11.2","3.38"
"Crawford","9.5","-0.01"
"Cumberland","9.4","-0.21"
"De Witt","9.9","0.79"
"DeKalb","10.2","1.39"
"Douglas","9.3","-0.40"
"DuPage","10.5","1.99"
"Edgar","9.1","-0.80"
"Edwards","9.4","-0.21"
"Effingham","9.6","0.19"
"Fayette","9.5","-0.01"
"Ford","9.3","-0.40"
"Franklin","9.4","-0.21"
"Fulton","9.7","0.39"
"Gallatin","9.2","-0.60"
"Greene","9.1","-0.80"
"Grundy","10.1","1.19"
"Hamilton","8.8","-1.40"
"Hancock","9.3","-0.40"
"Hardin","9.2","-0.60"
"Henderson","9.2","-0.60"
"Henry","9.8","0.59"
"Iroquois","9.3","-0.40"
"Jackson","9.4","-0.21"
"Jasper","9.4","-0.21"
"Jefferson","9.4","-0.21"
"Jersey","8.3","-2.40"
"Jo Daviess","9.2","-0.60"
"Johnson","9.4","-0.21"
"Kane","9.1","-0.80"
"Kankakee","9.7","0.39"
"Kendall","10.7","2.38"
"Knox","9.6","0.19"
"Lake","10.2","1.39"
"LaSalle","10.2","1.39"
"Lawrence","9.5","-0.01"
"Lee","9.7","0.39"
"Livingston","9.7","0.39"
"Logan","10.1","1.19"
"Macon","10.4","1.79"
"Macoupin","9.7","0.39"
"Madison","11.2","3.38"
"Marion","9.5","-0.01"
"Marshall","9.7","0.39"
"Mason","9.7","0.39"
"Massac","9.6","0.19"
"McDonough","9.3","-0.40"
"McHenry","8.3","-2.40"
"McLean","9.9","0.79"
"Menard","9.7","0.39"
"Mercer","9.3","-0.40"
"Monroe","9.1","-0.80"
"Montgomery","9.6","0.19"
"Morgan","9.5","-0.01"
"Moultrie","9.6","0.19"
"Ogle","9.7","0.39"
"Peoria","9.4","-0.21"
"Perry","9.1","-0.80"
"Piatt","9.6","0.19"
"Pike","9.1","-0.80"
"Pope","9.4","-0.21"
"Pulaski","9.2","-0.60"
"Putnam","9.6","0.19"
"Randolph","7.8","-3.39"
"Richland","9.4","-0.21"
"Rock Island","9.3","-0.40"
"Saline","9.3","-0.40"
"Sangamon","9.5","-0.01"
"Schuyler","9.1","-0.80"
"Scott","9.0","-1.00"
"Shelby","9.7","0.39"
"St. Clair","10.3","1.59"
"Stark","9.5","-0.01"
"Stephenson","9.3","-0.40"
"Tazewell","10.3","1.59"
"Union","9.3","-0.40"
"Vermilion","9.2","-0.60"
"Wabash","9.5","-0.01"
"Warren","9.3","-0.40"
"Washington","9.1","-0.80"
"Wayne","9.4","-0.21"
"White","9.4","-0.21"
"Whiteside","9.6","0.19"
"Will","10.1","1.19"
"Williamson","9.5","-0.01"
"Winnebago","9.8","0.59"
"Woodford","10.0","0.99"
