County,County Value,Z-Score
"Illinois","8.8",
"Adams","8.3","-0.96"
"Alexander","8.8","-0.16"
"Bond","8.6","-0.48"
"Boone","9.5","0.95"
"Brown","7.9","-1.59"
"Bureau","9.3","0.63"
"Calhoun","8.5","-0.64"
"Carroll","9.2","0.47"
"Cass","8.3","-0.96"
"Champaign","8.1","-1.27"
"Christian","9.1","0.31"
"Clark","9.0","0.16"
"Clay","8.8","-0.16"
"Clinton","8.8","-0.16"
"Coles","9.0","0.16"
"Cook","10.8","3.01"
"Crawford","9.0","0.16"
"Cumberland","9.0","0.16"
"De Witt","9.2","0.47"
"DeKalb","9.9","1.58"
"Douglas","8.8","-0.16"
"DuPage","11.0","3.33"
"Edgar","8.9","0.00"
"Edwards","8.7","-0.32"
"Effingham","9.1","0.31"
"Fayette","8.8","-0.16"
"Ford","9.0","0.16"
"Franklin","8.8","-0.16"
"Fulton","8.6","-0.48"
"Gallatin","8.5","-0.64"
"Greene","8.2","-1.11"
"Grundy","9.7","1.27"
"Hamilton","8.2","-1.11"
"Hancock","8.4","-0.80"
"Hardin","8.5","-0.64"
"Henderson","8.4","-0.80"
"Henry","9.2","0.47"
"Iroquois","9.1","0.31"
"Jackson","8.7","-0.32"
"Jasper","8.9","0.00"
"Jefferson","8.7","-0.32"
"Jersey","7.9","-1.59"
"Jo Daviess","9.1","0.31"
"Johnson","8.7","-0.32"
"Kane","8.8","-0.16"
"Kankakee","9.6","1.11"
"Kendall","10.1","1.90"
"Knox","8.7","-0.32"
"Lake","9.8","1.43"
"LaSalle","9.7","1.27"
"Lawrence","8.8","-0.16"
"Lee","9.5","0.95"
"Livingston","9.3","0.63"
"Logan","9.1","0.31"
"Macon","9.5","0.95"
"Macoupin","9.0","0.16"
"Madison","11.2","3.65"
"Marion","8.8","-0.16"
"Marshall","9.0","0.16"
"Mason","8.7","-0.32"
"Massac","8.9","0.00"
"McDonough","8.4","-0.80"
"McHenry","7.8","-1.75"
"McLean","9.4","0.79"
"Menard","8.6","-0.48"
"Mercer","8.7","-0.32"
"Monroe","8.4","-0.80"
"Montgomery","8.8","-0.16"
"Morgan","8.4","-0.80"
"Moultrie","9.0","0.16"
"Ogle","9.7","1.27"
"Peoria","8.0","-1.43"
"Perry","8.5","-0.64"
"Piatt","9.1","0.31"
"Pike","8.2","-1.11"
"Pope","8.7","-0.32"
"Pulaski","8.6","-0.48"
"Putnam","9.0","0.16"
"Randolph","7.1","-2.86"
"Richland","8.8","-0.16"
"Rock Island","8.6","-0.48"
"Saline","8.6","-0.48"
"Sangamon","8.2","-1.11"
"Schuyler","8.1","-1.27"
"Scott","8.1","-1.27"
"Shelby","9.1","0.31"
"St. Clair","9.2","0.47"
"Stark","8.6","-0.48"
"Stephenson","9.3","0.63"
"Tazewell","9.2","0.47"
"Union","8.7","-0.32"
"Vermilion","9.0","0.16"
"Wabash","8.7","-0.32"
"Warren","8.5","-0.64"
"Washington","8.4","-0.80"
"Wayne","8.7","-0.32"
"White","8.7","-0.32"
"Whiteside","9.4","0.79"
"Will","9.8","1.43"
"Williamson","8.9","0.00"
"Winnebago","10.3","2.22"
"Woodford","9.2","0.47"
